IdPassageiro,Idade
786,25.0
787,18.0
788,8.0
789,1.0
790,46.0
792,16.0
795,25.0
796,39.0
797,49.0
798,31.0
799,30.0
800,30.0
801,34.0
802,31.0
803,11.0
804,0.42
805,27.0
806,31.0
807,39.0
808,18.0
809,39.0
810,33.0
811,26.0
812,39.0
813,35.0
814,6.0
815,30.5
817,23.0
818,31.0
819,43.0
820,10.0
821,52.0
822,27.0
823,38.0
824,27.0
825,2.0
828,1.0
830,62.0
831,15.0
832,0.83
834,23.0
835,18.0
836,39.0
837,21.0
839,32.0
841,20.0
842,16.0
843,30.0
844,34.5
845,17.0
846,42.0
848,35.0
849,28.0
851,4.0
852,74.0
853,9.0
854,16.0
855,44.0
856,18.0
857,45.0
858,51.0
859,24.0
861,41.0
862,21.0
863,48.0
865,24.0
866,42.0
867,27.0
868,31.0
870,4.0
871,26.0
872,47.0
873,33.0
874,47.0
875,28.0
876,15.0
877,20.0
878,19.0
880,56.0
881,25.0
882,33.0
883,22.0
884,28.0
885,25.0
886,39.0
887,27.0
888,19.0
890,26.0
891,32.0
892,34.5
893,47.0
894,62.0
895,27.0
896,22.0
897,14.0
898,30.0
899,26.0
900,18.0
901,21.0
903,46.0
904,23.0
905,63.0
906,47.0
907,24.0
908,35.0
909,21.0
910,27.0
911,45.0
912,55.0
913,9.0
915,21.0
916,48.0
917,50.0
918,22.0
919,22.5
920,41.0
922,50.0
923,24.0
924,33.0
926,30.0
927,18.5
929,21.0
930,25.0
932,39.0
934,41.0
935,30.0
936,45.0
937,25.0
938,45.0
940,60.0
941,36.0
942,24.0
943,27.0
944,20.0
945,28.0
947,10.0
948,35.0
949,25.0
951,36.0
952,17.0
953,32.0
954,18.0
955,22.0
956,13.0
958,18.0
959,47.0
960,31.0
961,60.0
962,24.0
963,21.0
964,29.0
965,28.5
966,35.0
967,32.5
969,55.0
970,30.0
971,24.0
972,6.0
973,67.0
974,49.0
978,27.0
979,18.0
981,2.0
982,22.0
984,27.0
986,25.0
987,25.0
988,76.0
989,29.0
990,20.0
991,33.0
992,43.0
993,27.0
995,26.0
996,16.0
997,28.0
998,21.0
1001,18.5
1002,41.0
1004,36.0
1005,18.5
1006,63.0
1007,18.0
1009,1.0
1010,36.0
1011,29.0
1012,12.0
1014,35.0
1015,28.0
1017,17.0
1018,22.0
1020,42.0
1021,24.0
1022,32.0
1023,53.0
1026,43.0
1027,24.0
1028,26.5
1029,26.0
1030,23.0
1031,40.0
1032,10.0
1033,33.0
1034,61.0
1035,28.0
1036,42.0
1037,31.0
1039,22.0
1041,30.0
1042,23.0
1044,60.5
1045,36.0
1046,13.0
1047,24.0
1048,29.0
1049,23.0
1050,42.0
1051,26.0
1053,7.0
1054,26.0
1056,41.0
1057,26.0
1058,48.0
1059,18.0
1061,22.0
1063,27.0
1064,23.0
1066,40.0
1067,15.0
1068,20.0
1069,54.0
1070,36.0
1071,64.0
1072,30.0
1073,37.0
1074,18.0
1076,27.0
1077,40.0
1078,21.0
1079,17.0
1081,40.0
1082,34.0
1084,11.5
1085,61.0
1086,8.0
1087,33.0
1088,6.0
1089,18.0
1090,23.0
1093,0.33
1094,47.0
1095,8.0
1096,25.0
1098,35.0
1099,24.0
1100,33.0
1101,25.0
1102,32.0
1104,17.0
1105,60.0
1106,38.0
1107,42.0
1109,57.0
1110,50.0
1112,30.0
1113,21.0
1114,22.0
1115,21.0
1116,53.0
1118,23.0
1120,40.5
1121,36.0
1122,14.0
1123,21.0
1124,21.0
1126,39.0
1127,20.0
1128,64.0
1129,20.0
1130,18.0
1131,48.0
1132,55.0
1133,45.0
1134,45.0
1137,41.0
1138,22.0
1139,42.0
1140,29.0
1142,0.92
1143,20.0
1144,27.0
1145,24.0
1146,32.5
1149,28.0
1150,19.0
1151,21.0
1152,36.5
1153,21.0
1154,29.0
1155,1.0
1156,30.0
1161,17.0
1162,46.0
1164,26.0
1167,20.0
1168,28.0
1169,40.0
1170,30.0
1171,22.0
1172,23.0
1173,0.75
1175,9.0
1176,2.0
1177,36.0
1179,24.0
1183,30.0
1185,53.0
1186,36.0
1187,26.0
1188,1.0
1190,30.0
1191,29.0
1192,32.0
1194,43.0
1195,24.0
1197,64.0
1198,30.0
1199,0.83
1200,55.0
1201,45.0
1202,18.0
1203,22.0
1205,37.0
1206,55.0
1207,17.0
1208,57.0
1209,19.0
1210,27.0
1211,22.0
1212,26.0
1213,25.0
1214,26.0
1215,33.0
1216,39.0
1217,23.0
1218,12.0
1219,46.0
1220,29.0
1221,21.0
1222,48.0
1223,39.0
1225,19.0
1226,27.0
1227,30.0
1228,32.0
1229,39.0
1230,25.0
1232,18.0
1233,32.0
1235,58.0
1237,16.0
1238,26.0
1239,38.0
1240,24.0
1241,31.0
1242,45.0
1243,25.0
1244,18.0
1245,49.0
1246,0.17
1247,50.0
1248,59.0
1251,30.0
1252,14.5
1253,24.0
1254,31.0
1255,27.0
1256,25.0
1259,22.0
1260,45.0
1261,29.0
1262,21.0
1263,31.0
1264,49.0
1265,44.0
1266,54.0
1267,45.0
1268,22.0
1269,21.0
1270,55.0
1271,5.0
1273,26.0
1275,19.0
1277,24.0
1278,24.0
1279,57.0
1280,21.0
1281,6.0
1282,23.0
1283,51.0
1284,13.0
1285,47.0
1286,29.0
1287,18.0
1288,24.0
1289,48.0
1290,22.0
1291,31.0
1292,30.0
1293,38.0
1294,22.0
1295,17.0
1296,43.0
1297,20.0
1298,23.0
1299,50.0
1301,3.0
1303,37.0
1304,28.0
1306,39.0
1307,38.5
6,32.99752063578707
18,32.27537366596524
20,28.53327887570486
27,26.934931684070012
29,26.101232152467215
30,28.55476605939832
32,41.390606909379315
33,26.101540628053606
37,26.93492165622587
43,26.93333009410601
46,28.554397894263484
47,32.23384829136647
48,26.101540628053606
49,25.406701679846204
56,42.42562664854547
65,40.82276416066514
66,1.5227450629919872
77,28.55476605939832
78,28.554397894263484
83,26.10145109373093
88,28.554397894263484
96,28.554397894263484
102,28.55476605939832
108,28.55505447929643
110,25.315524575582742
122,28.554397894263484
127,32.99921176007375
129,5.241952748298431
141,31.558170814804363
155,28.55615873594275
159,28.552935500326466
160,-0.6914715314538213
167,45.49943712054343
169,42.44848774560169
177,1.6260583746785642
181,3.0447178303865456
182,30.64904315770006
186,42.391006710444664
187,33.832195483001314
197,32.99921176007375
199,26.101540628053606
202,25.476726191881976
215,32.25235205138586
224,28.55476605939832
230,5.362247736518938
236,21.657920553212335
241,19.273140536015894
242,25.336177159346327
251,28.55630795981387
257,42.298200544198
261,32.99921176007375
265,26.101540628053606
271,42.4363707672664
275,26.101540628053606
278,32.306412231159065
285,42.44830867695634
296,40.82276416066514
299,42.437564558235394
301,26.101540628053606
302,31.468484822659192
304,29.82335205343366
305,28.554397894263484
307,33.7265357457272
325,25.476726191881976
331,24.57081369063905
335,43.04277296427906
336,28.55476605939832
348,29.386665342609657
352,42.42682043951446
355,26.934931684070012
359,26.101232152467215
360,26.101232152467215
365,32.23384829136647
368,28.533268847860718
369,26.101540628053606
376,41.544247807088745
385,28.55476605939832
389,32.99926142177806
410,5.362247736518938
411,28.55476605939832
412,33.00134076688785
414,32.306412231159065
416,30.152745085898328
421,26.93333009410601
426,28.55630795981387
429,32.99921176007375
432,29.386665342609657
445,28.554248670392358
452,27.779086087895198
455,28.554397894263484
458,43.23804732203213
460,32.99921176007375
465,28.554397894263484
467,32.306412231159065
469,32.9992714496222
471,28.55630795981387
476,42.38623154656869
482,32.306412231159065
486,5.362247736518938
491,27.779086087895198
496,26.917661587637973
498,28.537565441600677
503,26.10182904795171
508,42.446995506890445
512,28.554397894263484
518,32.96005541629077
523,26.934931684070012
525,26.93492165622587
528,41.9808697952029
532,26.93492165622587
534,31.541189138270436
539,28.53899799076347
548,30.651878411251417
553,32.999022663584256
558,40.3457152616113
561,32.99921176007375
564,28.554397894263484
565,21.656726762243338
569,26.93492165622587
574,26.101540628053606
579,27.76914907058494
585,26.93138015593726
590,28.554397894263484
594,13.611245654886027
597,25.32995089518537
599,26.934931684070012
602,28.55476605939832
603,42.40915233317336
612,28.55678547620147
613,25.336177159346327
614,32.99921176007375
630,32.99925163269211
634,42.51038580734399
640,27.78831815097481
644,28.43872957721218
649,28.555591685232475
651,28.55476605939832
654,26.101351531564113
657,28.55476605939832
668,28.55505447929643
670,43.23771902951565
675,32.306412231159065
681,26.100615440052636
693,28.43872957721218
698,26.101580500671968
710,1.5227450629919872
712,42.446995506890445
719,32.98070800005435
728,26.101570472827827
733,32.306412231159065
739,28.55476605939832
740,28.55476605939832
741,42.43875834920439
761,28.53899799076347
767,47.74079122500732
769,32.213195707602885
774,26.934931684070012
777,32.99921176007375
779,32.99924160484797
784,30.814811680038318
791,32.99921176007375
793,3.0447178303865456
794,40.81566110439963
816,42.51038580734399
826,33.00112182562414
827,28.43872957721218
829,32.99921176007375
833,26.93492165622587
838,28.554397894263484
840,40.81803865849348
847,25.476726191881976
850,41.527693746479905
860,26.93492165622587
864,3.0447178303865456
869,28.550935900453403
879,28.55476605939832
889,8.38280331854289
902,28.55476605939832
914,44.033086524163025
921,25.406701679846204
925,32.41315887167316
928,21.656726762243338
931,28.43872957721218
933,42.446995506890445
939,32.99921176007375
946,30.647779649338478
950,27.78831815097481
957,33.8546202020962
968,28.554397894263484
975,28.55476605939832
976,36.72494287872139
977,26.170811668036038
980,34.59755895170859
983,28.55505447929643
985,28.554397894263484
994,32.99921176007375
999,32.99921176007375
1000,28.55281612122957
1003,26.101470910661014
1008,26.936811904846177
1013,32.25235205138586
1016,32.99921176007375
1019,24.57081369063905
1024,36.19924580017442
1025,26.189952196158295
1038,42.386559839085166
1040,42.446995506890445
1043,26.93333009410601
1052,26.101580500671968
1055,28.55690485529837
1060,42.42111135229999
1062,28.555591685232475
1065,26.93492165622587
1075,32.99921176007375
1080,3.0447178303865456
1083,42.44830867695634
1091,30.152595862027205
1092,26.08303686803421
1097,40.82748942407861
1103,28.55678547620147
1108,26.101232152467215
1111,28.554397894263484
1117,31.558170814804363
1119,26.101540628053606
1125,32.998903284487355
1135,28.554785876328406
1136,4.646613956702524
1141,27.769158859670885
1147,28.555591685232475
1148,32.99921176007375
1157,28.55476605939832
1158,42.51038580734399
1159,28.555591685232475
1160,21.656726762243338
1163,32.99921176007375
1165,25.336177159346327
1166,26.934931684070012
1174,26.101540628053606
1178,28.55630795981387
1180,26.93492165622587
1181,28.554397894263484
1182,42.41583756259972
1184,26.93492165622587
1189,25.406701679846204
1193,30.6490531855442
1196,26.101540628053606
1204,28.555531995684028
1224,26.934931684070012
1231,0.7667239328900735
1234,41.35889204977412
1236,3.145961686893642
1249,28.55480569325849
1250,32.99921176007375
1257,42.95723924140897
1258,26.170801878950094
1272,32.99921176007375
1274,30.137345182398317
1276,32.275672113707486
1300,26.101610345446193
1302,26.101540628053606
1305,28.554397894263484
1308,28.554397894263484
1309,1.5057633864580566
